Symbol,ISIN Code,Upstox Instrument Key,Upstox Trading Symbol,Instrument Type,Mapping Status
HBLENGINE,INE292B01021,NSE_EQ|INE292B01021,HBLENGINE,EQ,FOUND
HDBFS,INE756I01012,NSE_EQ|INE756I01012,HDBFS,EQ,FOUND
HEG,INE545A01024,NSE_EQ|INE545A01024,HEG,BE,FOUND
HEXT,INE093A01041,NSE_EQ|INE093A01041,HEXT,EQ,FOUND
HFCL,INE548A01028,NSE_EQ|INE548A01028,HFCL,BE,FOUND
HINDCOPPER,INE531E01026,NSE_EQ|INE531E01026,HINDCOPPER,EQ,FOUND
HOMEFIRST,INE481N01025,NSE_EQ|INE481N01025,HOMEFIRST,EQ,FOUND
HONASA,INE0J5401028,NSE_EQ|INE0J5401028,HONASA,EQ,FOUND
HONAUT,INE671A01010,NSE_EQ|INE671A01010,HONAUT,EQ,FOUND
HSCL,INE019C01026,NSE_EQ|INE019C01026,HSCL,EQ,FOUND
ICICIPRULI,INE726G01019,NSE_EQ|INE726G01019,ICICIPRULI,EQ,FOUND
IDBI,INE008A01015,NSE_EQ|INE008A01015,IDBI,EQ,FOUND
IEX,INE022Q01020,NSE_EQ|INE022Q01020,IEX,EQ,FOUND
IFCI,INE039A01010,NSE_EQ|INE039A01010,IFCI,EQ,FOUND
IGIL,INE0Q9301021,NSE_EQ|INE0Q9301021,IGIL,EQ,FOUND
IGL,INE203G01027,NSE_EQ|INE203G01027,IGL,EQ,FOUND
IIFL,INE530B01024,NSE_EQ|INE530B01024,IIFL,EQ,FOUND
IKS,INE115Q01022,NSE_EQ|INE115Q01022,IKS,EQ,FOUND
INDGN,INE065X01017,NSE_EQ|INE065X01017,INDGN,EQ,FOUND
INDIACEM,INE383A01012,NSE_EQ|INE383A01012,INDIACEM,EQ,FOUND
INDIAMART,INE933S01016,NSE_EQ|INE933S01016,INDIAMART,EQ,FOUND
INOXWIND,INE066P01011,NSE_EQ|INE066P01011,INOXWIND,EQ,FOUND
INTELLECT,INE306R01017,NSE_EQ|INE306R01017,INTELLECT,EQ,FOUND
IOB,INE565A01014,NSE_EQ|INE565A01014,IOB,EQ,FOUND
IPCALAB,INE571A01038,NSE_EQ|INE571A01038,IPCALAB,EQ,FOUND
IRB,INE821I01022,NSE_EQ|INE821I01022,IRB,EQ,FOUND
IRCON,INE962Y01021,NSE_EQ|INE962Y01021,IRCON,EQ,FOUND
ITCHOTELS,INE379A01028,NSE_EQ|INE379A01028,ITCHOTELS,EQ,FOUND
ITI,INE248A01017,NSE_EQ|INE248A01017,ITI,EQ,FOUND
J&KBANK,INE168A01041,NSE_EQ|INE168A01041,J&KBANK,EQ,FOUND
JAINREC,INE0YD401026,NSE_EQ|INE0YD401026,JAINREC,EQ,FOUND
JBMA,INE927D01051,NSE_EQ|INE927D01051,JBMA,EQ,FOUND
JINDALSAW,INE324A01032,NSE_EQ|INE324A01032,JINDALSAW,EQ,FOUND
JKCEMENT,INE823G01014,NSE_EQ|INE823G01014,JKCEMENT,EQ,FOUND
JKTYRE,INE573A01042,NSE_EQ|INE573A01042,JKTYRE,EQ,FOUND
JMFINANCIL,INE780C01023,NSE_EQ|INE780C01023,JMFINANCIL,EQ,FOUND
JPPOWER,INE351F01018,NSE_EQ|INE351F01018,JPPOWER,EQ,FOUND
JSL,INE220G01021,NSE_EQ|INE220G01021,JSL,EQ,FOUND
JSWCEMENT,INE718I01012,NSE_EQ|INE718I01012,JSWCEMENT,EQ,FOUND
JSWDULUX,INE133A01011,NSE_EQ|INE133A01011,JSWDULUX,EQ,FOUND
JSWINFRA,INE880J01026,NSE_EQ|INE880J01026,JSWINFRA,EQ,FOUND
JUBLINGREA,INE0BY001018,NSE_EQ|INE0BY001018,JUBLINGREA,EQ,FOUND
JUBLPHARMA,INE700A01033,NSE_EQ|INE700A01033,JUBLPHARMA,EQ,FOUND
JWL,INE209L01016,NSE_EQ|INE209L01016,JWL,EQ,FOUND
JYOTICNC,INE980O01024,NSE_EQ|INE980O01024,JYOTICNC,EQ,FOUND
KAJARIACER,INE217B01036,NSE_EQ|INE217B01036,KAJARIACER,EQ,FOUND
KARURVYSYA,INE036D01028,NSE_EQ|INE036D01028,KARURVYSYA,EQ,FOUND
KAYNES,INE918Z01012,NSE_EQ|INE918Z01012,KAYNES,EQ,FOUND
KEC,INE389H01022,NSE_EQ|INE389H01022,KEC,EQ,FOUND
KFINTECH,INE138Y01010,NSE_EQ|INE138Y01010,KFINTECH,EQ,FOUND
KIMS,INE967H01025,NSE_EQ|INE967H01025,KIMS,EQ,FOUND
KIRLOSENG,INE146L01010,NSE_EQ|INE146L01010,KIRLOSENG,EQ,FOUND
KPIL,INE220B01022,NSE_EQ|INE220B01022,KPIL,EQ,FOUND
KPRMILL,INE930H01031,NSE_EQ|INE930H01031,KPRMILL,EQ,FOUND
LALPATHLAB,INE600L01024,NSE_EQ|INE600L01024,LALPATHLAB,EQ,FOUND
LATENTVIEW,INE0I7C01011,NSE_EQ|INE0I7C01011,LATENTVIEW,EQ,FOUND
LEMONTREE,INE970X01018,NSE_EQ|INE970X01018,LEMONTREE,EQ,FOUND
LICI,INE0J1Y01017,NSE_EQ|INE0J1Y01017,LICI,EQ,FOUND
LINDEINDIA,INE473A01011,NSE_EQ|INE473A01011,LINDEINDIA,EQ,FOUND
LLOYDSME,INE281B01032,NSE_EQ|INE281B01032,LLOYDSME,EQ,FOUND
LTFOODS,INE818H01020,NSE_EQ|INE818H01020,LTFOODS,EQ,FOUND
LTTS,INE010V01017,NSE_EQ|INE010V01017,LTTS,EQ,FOUND
MAHABANK,INE457A01014,NSE_EQ|INE457A01014,MAHABANK,EQ,FOUND
MANAPPURAM,INE522D01027,NSE_EQ|INE522D01027,MANAPPURAM,EQ,FOUND
MAPMYINDIA,INE0BV301023,NSE_EQ|INE0BV301023,MAPMYINDIA,EQ,FOUND
MEDANTA,INE474Q01031,NSE_EQ|INE474Q01031,MEDANTA,EQ,FOUND
MEESHO,INE0VDM01015,NSE_EQ|INE0VDM01015,MEESHO,EQ,FOUND
MGL,INE002S01010,NSE_EQ|INE002S01010,MGL,EQ,FOUND
MINDACORP,INE842C01021,NSE_EQ|INE842C01021,MINDACORP,EQ,FOUND
MMTC,INE123F01029,NSE_EQ|INE123F01029,MMTC,EQ,FOUND
MRPL,INE103A01014,NSE_EQ|INE103A01014,MRPL,EQ,FOUND
MSUMI,INE0FS801015,NSE_EQ|INE0FS801015,MSUMI,EQ,FOUND
NAM-INDIA,INE298J01013,NSE_EQ|INE298J01013,NAM-INDIA,EQ,FOUND
NATCOPHARM,INE987B01026,NSE_EQ|INE987B01026,NATCOPHARM,EQ,FOUND
NAVA,INE725A01030,NSE_EQ|INE725A01030,NAVA,EQ,FOUND
NAVINFLUOR,INE048G01026,NSE_EQ|INE048G01026,NAVINFLUOR,EQ,FOUND
NBCC,INE095N01031,NSE_EQ|INE095N01031,NBCC,EQ,FOUND
NCC,INE868B01028,NSE_EQ|INE868B01028,NCC,EQ,FOUND
NETWEB,INE0NT901020,NSE_EQ|INE0NT901020,NETWEB,EQ,FOUND
NEULANDLAB,INE794A01010,NSE_EQ|INE794A01010,NEULANDLAB,EQ,FOUND
NEWGEN,INE619B01017,NSE_EQ|INE619B01017,NEWGEN,EQ,FOUND
NH,INE410P01011,NSE_EQ|INE410P01011,NH,EQ,FOUND
NIACL,INE470Y01017,NSE_EQ|INE470Y01017,NIACL,EQ,FOUND
NIVABUPA,INE995S01015,NSE_EQ|INE995S01015,NIVABUPA,EQ,FOUND
NLCINDIA,INE589A01014,NSE_EQ|INE589A01014,NLCINDIA,EQ,FOUND
NSLNISP,INE0NNS01018,NSE_EQ|INE0NNS01018,NSLNISP,EQ,FOUND
NTPCGREEN,INE0ONG01011,NSE_EQ|INE0ONG01011,NTPCGREEN,EQ,FOUND
NUVAMA,INE531F01023,NSE_EQ|INE531F01023,NUVAMA,EQ,FOUND
NUVOCO,INE118D01016,NSE_EQ|INE118D01016,NUVOCO,EQ,FOUND
OLAELEC,INE0LXG01040,NSE_EQ|INE0LXG01040,OLAELEC,EQ,FOUND
OLECTRA,INE260D01016,NSE_EQ|INE260D01016,OLECTRA,EQ,FOUND
ONESOURCE,INE013P01021,NSE_EQ|INE013P01021,ONESOURCE,EQ,FOUND
PARADEEP,INE088F01024,NSE_EQ|INE088F01024,PARADEEP,EQ,FOUND
PCBL,INE602A01031,NSE_EQ|INE602A01031,PCBL,EQ,FOUND
PETRONET,INE347G01014,NSE_EQ|INE347G01014,PETRONET,EQ,FOUND
PFIZER,INE182A01018,NSE_EQ|INE182A01018,PFIZER,EQ,FOUND
PFOCUS,INE367G01038,NSE_EQ|INE367G01038,PFOCUS,EQ,FOUND
PGEL,INE457L01029,NSE_EQ|INE457L01029,PGEL,EQ,FOUND
PINELABS,INE15B701018,NSE_EQ|INE15B701018,PINELABS,EQ,FOUND
PIRAMALFIN,INE202B01038,NSE_EQ|INE202B01038,PIRAMALFIN,EQ,FOUND
PNBHOUSING,INE572E01012,NSE_EQ|INE572E01012,PNBHOUSING,EQ,FOUND
POLYMED,INE205C01021,NSE_EQ|INE205C01021,POLYMED,EQ,FOUND
POONAWALLA,INE511C01022,NSE_EQ|INE511C01022,POONAWALLA,EQ,FOUND
PPLPHARMA,INE0DK501011,NSE_EQ|INE0DK501011,PPLPHARMA,EQ,FOUND
PTCIL,INE596F01018,NSE_EQ|INE596F01018,PTCIL,EQ,FOUND
PVRINOX,INE191H01014,NSE_EQ|INE191H01014,PVRINOX,EQ,FOUND
PWL,INE0LP301011,NSE_EQ|INE0LP301011,PWL,EQ,FOUND
RAILTEL,INE0DD101019,NSE_EQ|INE0DD101019,RAILTEL,EQ,FOUND
RAINBOW,INE961O01016,NSE_EQ|INE961O01016,RAINBOW,EQ,FOUND
RAMCOCEM,INE331A01037,NSE_EQ|INE331A01037,RAMCOCEM,EQ,FOUND
RBLBANK,INE976G01028,NSE_EQ|INE976G01028,RBLBANK,EQ,FOUND
REDINGTON,INE891D01026,NSE_EQ|INE891D01026,REDINGTON,EQ,FOUND
RHIM,INE743M01012,NSE_EQ|INE743M01012,RHIM,EQ,FOUND
RITES,INE320J01015,NSE_EQ|INE320J01015,RITES,EQ,FOUND
RKFORGE,INE399G01023,NSE_EQ|INE399G01023,RKFORGE,EQ,FOUND
RPOWER,INE614G01033,NSE_EQ|INE614G01033,RPOWER,EQ,FOUND
RRKABEL,INE777K01022,NSE_EQ|INE777K01022,RRKABEL,EQ,FOUND
SAGILITY,INE0W2G01015,NSE_EQ|INE0W2G01015,SAGILITY,EQ,FOUND
SAILIFE,INE570L01029,NSE_EQ|INE570L01029,SAILIFE,EQ,FOUND
SAMMAANCAP,INE148I01020,NSE_EQ|INE148I01020,SAMMAANCAP,EQ,FOUND
SAPPHIRE,INE806T01020,NSE_EQ|INE806T01020,SAPPHIRE,EQ,FOUND
SARDAEN,INE385C01021,NSE_EQ|INE385C01021,SARDAEN,EQ,FOUND
SAREGAMA,INE979A01025,NSE_EQ|INE979A01025,SAREGAMA,EQ,FOUND
SBFC,INE423Y01016,NSE_EQ|INE423Y01016,SBFC,EQ,FOUND
SCHAEFFLER,INE513A01022,NSE_EQ|INE513A01022,SCHAEFFLER,EQ,FOUND
SCHNEIDER,INE839M01018,NSE_EQ|INE839M01018,SCHNEIDER,EQ,FOUND
SCI,INE109A01011,NSE_EQ|INE109A01011,SCI,EQ,FOUND
SHYAMMETL,INE810G01011,NSE_EQ|INE810G01011,SHYAMMETL,EQ,FOUND
SIGNATURE,INE903U01023,NSE_EQ|INE903U01023,SIGNATURE,EQ,FOUND
SJVN,INE002L01015,NSE_EQ|INE002L01015,SJVN,EQ,FOUND
SOBHA,INE671H01015,NSE_EQ|INE671H01015,SOBHA,EQ,FOUND
SONACOMS,INE073K01018,NSE_EQ|INE073K01018,SONACOMS,EQ,FOUND
SONATSOFTW,INE269A01021,NSE_EQ|INE269A01021,SONATSOFTW,EQ,FOUND
SPLPETRO,INE663A01033,NSE_EQ|INE663A01033,SPLPETRO,EQ,FOUND
STARHEALTH,INE575P01011,NSE_EQ|INE575P01011,STARHEALTH,EQ,FOUND
SUMICHEM,INE258G01013,NSE_EQ|INE258G01013,SUMICHEM,EQ,FOUND
SUNDARMFIN,INE660A01013,NSE_EQ|INE660A01013,SUNDARMFIN,EQ,FOUND
SUNTV,INE424H01027,NSE_EQ|INE424H01027,SUNTV,EQ,FOUND
SWANCORP,INE665A01038,NSE_EQ|INE665A01038,SWANCORP,EQ,FOUND
SYNGENE,INE398R01022,NSE_EQ|INE398R01022,SYNGENE,EQ,FOUND
SYRMA,INE0DYJ01015,NSE_EQ|INE0DYJ01015,SYRMA,EQ,FOUND
TARIL,INE763I01026,NSE_EQ|INE763I01026,TARIL,EQ,FOUND
TATACHEM,INE092A01019,NSE_EQ|INE092A01019,TATACHEM,EQ,FOUND
TATATECH,INE142M01025,NSE_EQ|INE142M01025,TATATECH,EQ,FOUND
TBOTEK,INE673O01025,NSE_EQ|INE673O01025,TBOTEK,EQ,FOUND
TECHNOE,INE285K01026,NSE_EQ|INE285K01026,TECHNOE,EQ,FOUND
TEGA,INE011K01018,NSE_EQ|INE011K01018,TEGA,EQ,FOUND
TEJASNET,INE010J01012,NSE_EQ|INE010J01012,TEJASNET,EQ,FOUND
TENNIND,INE19RI01016,NSE_EQ|INE19RI01016,TENNIND,EQ,FOUND
THELEELA,INE0AQ201015,NSE_EQ|INE0AQ201015,THELEELA,EQ,FOUND
THERMAX,INE152A01029,NSE_EQ|INE152A01029,THERMAX,EQ,FOUND
TIMKEN,INE325A01013,NSE_EQ|INE325A01013,TIMKEN,EQ,FOUND
TITAGARH,INE615H01020,NSE_EQ|INE615H01020,TITAGARH,EQ,FOUND
TORNTPOWER,INE813H01021,NSE_EQ|INE813H01021,TORNTPOWER,EQ,FOUND
TRAVELFOOD,INE103V01028,NSE_EQ|INE103V01028,TRAVELFOOD,EQ,FOUND
TRIDENT,INE064C01022,NSE_EQ|INE064C01022,TRIDENT,EQ,FOUND
TRITURBINE,INE152M01016,NSE_EQ|INE152M01016,TRITURBINE,EQ,FOUND
TTML,INE517B01013,NSE_EQ|INE517B01013,TTML,EQ,FOUND
UBL,INE686F01025,NSE_EQ|INE686F01025,UBL,EQ,FOUND
UCOBANK,INE691A01018,NSE_EQ|INE691A01018,UCOBANK,EQ,FOUND
UNOMINDA,INE405E01023,NSE_EQ|INE405E01023,UNOMINDA,EQ,FOUND
URBANCO,INE0CAZ01013,NSE_EQ|INE0CAZ01013,URBANCO,EQ,FOUND
USHAMART,INE228A01035,NSE_EQ|INE228A01035,USHAMART,EQ,FOUND
UTIAMC,INE094J01016,NSE_EQ|INE094J01016,UTIAMC,EQ,FOUND
VIJAYA,INE043W01024,NSE_EQ|INE043W01024,VIJAYA,EQ,FOUND
VTL,INE825A01020,NSE_EQ|INE825A01020,VTL,EQ,FOUND
